,Title,Rating,Review Date,Review
10,Great Music App!,4,2/16/2021 23:06,"This app is really great for studying, and doesn’t require a subscription just to use like other music apps do. Although there is a SoundCloud Go+ subscription to unlock more creator features and listen to premium tracks, the base experience is enough for small time creators and casual listeners. One feature I would love implemented is the ability to rearrange playlists that you’ve either created or saved. I like everything to be organized, and sometimes scrolling down to an old playlist I still use often, would be better served at the top of my list. One bug I’ve also noticed, is that sometimes the comments don’t appear, when opening the comment window. Sometimes two or three comments are listed by the little text bubble icon, but pulling up the comments just tells you that “this track doesn’t have any comments.” Apparently it’s been an issue for awhile, so I assume it will be fixed sometime soon. Thanks for reading!"
11,Pls change this one thing,4,1/24/2021 0:45,"I always used SoundCloud and it’s been what I use to listen to music since 8th grade and now I’m a year out of school. It’s always been a really cool platform and i don’t plan on stop using it. But there’s one thing that bothers me. VIDEO ADS. If an ad comes on while your on the app maybe u were jus on there to pick a different song and a video ad comes on, if u get out of the app the ad stops and u can’t play it to get to your music the only way u can listen to it and get to your song is by staying in the app as the whole ad plays. PLEASEE change this. It gets really annoying when I’m doin something while listening to music and then when I want to change a song get an ad then I gotta sit there and actually watch the ad to get to my song. I don’t mind just listening to it in the background of what I’m doin but actually having to sit Thru it is a bruh moment. Please make these ads able to play in the background of whatever your doing"
12,Disappointed but holds a place in my heart,2,3/27/2022 4:25,"I love SoundCloud coz I’ve been using it literally since elementary school, but it’s gone down hill. First, when you shuffle your playlist, it’s like the app has pre made shuffle lists from your playlist so it plays the same songs in the same order. I noticed this way too much so I tested this by writing down the sounds that would play, then a few days later I’d shuffle my list and it matched. That’s really dumb and annoying and I don’t understand why that’s a feature, if my playlist being shuffled like that is simply by chance then that’s crazy, but if it’s the app then why? Second, ads: before I didn’t mind the ads, but now when using the mobile app if an ad plays while you’re on the app, you’re forced to watch/skip the ad because it won’t play off the app in the background. That was not a thing a few years ago, why SoundCloud ): y’all are the OG and the prime spot for finding new artists and got exclusively unique songs from artists so I’ll always love the app but these reasons have caused me to switch to Apple Music <\3"
13,Casting Music Button is Very Broken,3,11/16/2021 19:42,"Much of my SoundCloud music listening is done through casting music to my multiple chrome cast supported speakers throughout my home the button in the upper right hand corner used to cast music is so difficult to press! I tap on it about 15 times before it recognizes that I’m trying to tap on it, instead of having it think I’m pressing around it (which causes my music to pause and play over and over again)

I’m also unable to adjust the volume on my speakers when connected through chrome cast by using the ‘volume up’ and ‘volume down’ buttons located on the side of my phone. I instead have to use the remote for each of my speakers to do so. I’ve used other music applications that allow me to cast music to my chrome cast supported speakers, that allow me to use my phone to adjust the volume on the speakers using the side buttons on my phone.

The last issue is that the music player for SoundCloud doesn’t appear on my phone when it’s locked. I’m not sure why this is?"
14,BUGS BUGS BUGS,2,9/6/2022 12:32,"Aloha, Okay, I’m officially intrigued. You are a whole company… I’ve been I college for 5 years for computer science/ software engineering. I had souncloud since I was in 8th grade, the only music app I’d use. 😂 A week ago I duplicated your “app” and made it exactly the same as yours when not published; though don’t get fooled by that sentence; I know my rights, fk add on to what I have just said. I have 4 years of study before college with experience. Why am I a Karen about this little thing? I did it ONLY BECAUSE, the bugs In your system AFTER THE RECENT UPDATE; Such as, searching for a song and my screen crashes. Trying to lick a song my screen freezes and I cannot click anything, trying to scroll through my playlist and it freezes; Not sufficient. SOUNDCLOUD was doing amazing. Comparing yourself to other platforms of music will not make you more successful. I think this is great feedback, for you guys to know, & also fix the bugs if Instagram can do it in a day you can too, it doesn’t take “much” money all the time it takes your brains in the company. Mahalo nui loa."
15,Used to be great listening on my phone but now...,5,11/11/2021 22:47,"November 2021 update: App is working much smoother! currently 4.8 stars. 

Pros: -helps me find a great songs -my oldest and trusty music app Cons: -on my phone (which I use 99.9%time now)not good anymore... sometimes frequent 1min ads like after 4 songs -new privacy policy looks like a privacy concern. -liked playlist (and longer lists) has lag problem where it takes 5min to scroll down. (iPhone) -music just stops when service stops (used to hold a few songs in RAM when you go intermittently offline. That was good, especially driving mountain roads) -app checks my location every minute. Draining my battery Interestingly It’s been great until the major update a few years ago and then continuously progressively making app worse/lagging with each update. Like why. Currently at 2 stars, I’ll update review later"
16,GO+ problem,3,5/3/2020 20:36,"So I was loving the app until I woke up this afternoon and came to see more than half my songs were suddenly GO+ when before they were free. I’m seriously freaking out because all of my favorite songs are now previews and I have no idea what to do. I tried to see if anyone else was having problems in the comment sections and it seems like no one else is having this same problem. I seriously do not want to switch over to another music app just because SoundCloud decided to make half the songs GO+. And I’m not just talking about 1 artist suddenly switching from free to GO+ I’m saying multiple artists songs I have saved are GO+ now so it’s not an singular artist I’m talking about. Unless these artist just happened to talk to each other and decided “Hey why don’t we make our songs GO+ for no reason at all!”. Now that’s me being sarcastic, but I’m seriously freaking out because I can’t live through quarantine without my music. Please SoundCloud do something about this and don’t just scroll by ignoring the people’s problems."
17,pick your poison,3,12/29/2020 23:56,"it deserves 5 stars but i can’t help but remember the days with no ads and no premium service, everything jus listening,  it would be really nice if you cut one of these things or at least chill out on the ads. Like maybe not right after the first song i play EVERY TIME!! it highly discourages me from using and i switch to apple music very quickly afterwards. By including a paid subscription and ads you’ve basically given apple the advantage as it’s pre downloaded on my phone and actually has all fully mastered music. I really want to see this app thrive but i think the money your making w ads and subscription is holding that back. 100% understand that you’ve probably ran those numbers thousands of times, but i truly think your fan base would explode to even greater numbers if you were to cut at least some ads, there’s just too much in the way of freely scrolling. However I have hope and rooting for you !!"
18,New update is pure garbage,3,6/13/2022 16:04,"I’ve been a SoundCloud user/artist since 2010 I’ve never once had a problem with this app until the recent update it’s so annoying. Nothing loads none of my tracks I liked load none of my insights load nor does the home screen load for weekly updated or new songs artist dropped. I already uninstalled this app 4 times hoping it was just an error but it’s not, I really hope the users/creators of SoundCloud didn’t delete my music or my liked tracks if they did then I’ll rate this app lower and delete it. Whoever’s genius idea it was to update SoundCloud for IOS like this needs to seek help they also did a horrible job. Why is it that all these people who had SoundCloud for years never had a problem, until this current update all these reviews from Users/artist that are leaving on this update is just showing the person who updated SoundCloud like this really did do a horrible job."
19,"Awesome app, been using it for years! But now there’s this one thing...",5,12/13/2020 4:09,"Okay, so I’ve been using this amazing app for a few years now and it’s been absolutely great, but since the most recent updates, it’s been having more adds and now when I’m trying to listen to my music outside the app, it’ll keep going for a while, and then out of nowhere, stop when I haven’t done anything. I’ve checked and is not my headphones, and I bet it’ll get fixed soon, aside from this temporary thing, this is a wonderful app that has the songs in a reachable, free platform when you can’t find the song you’re looking for anywhere else. It’s also an awesome place to find your type of music because it has such a wide variety of content! Amazing over all 🥰 have loved it for years 🖤❤️🖤❤️"
20,"Great, but...",5,1/2/2021 19:28,"Don’t get me wrong, I love SoundCloud. I use it way more than I listen to music I actually own. However, the ads sometimes ruin it for me. I don’t mind the audio only ads, I’m totally okay with those. The issue I have is when I manually go in to change what playlist I’m playing, THEY might show up, the accursed video ads. I don’t want to sit through those because I use SoundCloud in the background all the time. Problem being, videos get paused when you switch over, and don’t keep playing like audio ones. So I end up rebooting the app until it gives up, which takes several attempts usually. 

Basically, my suggestion to the devs here is either make video ads playable without requiring the app to be open, or, failing that, remove them completely."
21,SoundCloud is being slow/Loading Error...Tap to try again,2,3/16/2021 9:07,"I just want to say that I love this app so much, I use SoundCloud like 24/7! It is my favorite because not only do I love listening to the music I like, but I also happen to upload my own songs on there as well. My only issue with this is app is that it’s been lately being very slow on my phone. Whenever I go on SoundCloud nowadays it’s acts like one of those old computer machines that people would try to use back in the day, or it is also kind of like using an old phone because it runs very very slow on my phone. Also, I have been experiencing lots of loading errors on each song whenever I want to shuffle music on SoundCloud on my phone. Some work and then some just don’t want to work, and it is very strange because it hasn’t done this to me before. If there is any way that this issue can be fixed, please fix it so that I won’t have this problem at all anymore. Thank you so much!"
22,TOO MANY ADS,2,2/11/2020 2:23,"I don’t really write reviews for apps ever. I used to love this app and still use it occasionally but these ads are getting way too out of hand. I understand that the app has to make money but it seems like they are intentionally throwing ads almost every other song just to get you to buy SoundCloud plus or whatever the paid version is called. And it’s not like they are short ads either. It’s every other song a 30 second ad. I have started just closing the app out and reopening it and going back to the same song in half the time it would take for these repetitive ads to be done. I do not think that this deserves one star. I put it there in hopes that someone will see it and make a change. 2 years ago I would have given this app 5 stars but now with the amount of ads I would not truthfully give it more than 3 stars. 
Update: it’s getting worse. I am having ads stop music in the middle of 3 or 4 minute songs. This is not okay.
Later Update: ¿ALL MY ADS ARE IN SPANISH?"
23,love it but please update certain features,4,5/7/2022 23:36,"i have used soundcloud for years now, ive grown up using the app quite literally. i have bought subscriptions, told all my friends to only use soundcloud, etc. like i’m crazy for this app, but in comparison to how much easier it is to use on the website, it makes me extremely disappointed that finding new artists is just… not as easy? like the ability to hear the tracks people have recently posted or reposted in the last day from my following list. i find so many amazing songs that way, but i simply can’t do that on mobile. all the organized playlists are there which is cool & so i can still rely on “the upload” & “soundcloud weekly” but i need more. the playlists are only good for so long, please let me navigate your app for LONGER by making it easier find music🙏🏻"
24,Your new update is trash,2,7/25/2022 10:38,SoundCloud is fine it does it’s job better than most music apps but it has multiple completely stupid problems.1 I can’t play certain songs for absolutely no reason that I used to be able to play before.2 some songs you literally cannot find for absolutely no reason you will be listening to it accidentally remove from liked and then never see it again it’s annoying.3 get rid of the 13 million copies of songs idc if it’s a repost or not if the creators didn’t upload it it shouldn’t be there I’m tryna listen to new music and then the same song uploaded by 40 different people keeps playing which reminds me stop putting the same music in the created for me playlists why would I even click on them if it’s the same songs I have liked. All of this and more was already an issue before you remodeled SoundCloud so why don’t you guys actually fix your app instead of making it look pretty
25,ads after almost EVERY song,2,9/18/2020 15:20,"it’s ridiculous, i thought after i got a new phone this would go away, and it did - for a little bit. now, every time i open the app, i get an ad. if i listen to ONE song, i get an ad. if i don’t even listen to anything i get ads which sometimes stop playing when you leave the app, so you can’t play them in the background. i swear it didn’t used to be like this, i’ve tried turning on and off my wi-fi, clearing the app cache, deleting and redownloading the app, and nothing. for the record, i’m not opposed to the idea of sc having ads in general, it’s just that they’re so frequent i use the app less and less. i’m stuck to it because ive been using it for so long(large library) but that’s the only real reason.

also, there are some glitches, like text not showing in the search bar in night mode, and liked songs/playlists not showing up when you search for them. my main gripe is with the ads, months later as i update this, i’m getting one after EVERY song. sc crashed and as soon as i opened the app it came back with an ad. i’d give 4 or 5 stars if it weren’t for this stuff

and STOP with the same ads over and over
it wouldn’t be as bad if you had some variety but it’s just verizon over and over again, i get it, and if anything i want to use verizon less now

you really need to fix your ad program before everyone starts leaving."
26,Stop the SoundCloud slander!,5,10/29/2021 7:17,"I have legitimately never placed a review on an app ever in my 8 years of owning Apple products but SoundCloud has just held me down unlike any other app. My passion for SoundCloud runs deep as for 3 years now it has been the only place for my music needs. It is the only app that has the underground music I like along with the mainstream songs. I find very few songs I want to listen to are blocked by their premium feature and the ads are pretty minimal for a free app; So much so that I hadn’t even upgraded to SoundsCloud Go + until tonight (shout out that student discount🤝). I sincerely don’t get why people don’t use SoundCloud, it is a very well designed app that seems to respond well to bad wifi and just overall has intuitive menus. I love you SoundCloud and SoundCloud devs"
27,Constantly crashes in the background,1,9/1/2022 4:02,"The app has always been painfully slow, but it’s been worse more recently. Sometimes it takes so long to load that my phone just falls asleep. I have gigabit internet at home and I know that isn’t the problem. The app regularly crashes about half way through the first song I play about ⅔ of the time I use it. This problem has persisted from my iPhone 6S on iOS 9, through my iPhone XS to now on my iPhone 13 Pro on iOS 15. SoundCloud has never fixed this problem and the website is far more usable than this absolutely awful app.

UPDATE: the crashing still hasn’t been fixed with the new redesign, and the problems are even worse now. I can no longer stream anything on cellular data, it only spams me with SoundCloud Go ads whenever I try to play anything, and on Wi-Fi it won’t load artist profiles. It’s absolutely useless and I have since deleted it. I’ll stick to using the desktop site on my phone since the mobile site is also unusable."
28,extremely annoying,1,7/29/2022 6:34,"i've been publishing my music on here for 2 years and honestly i'm tired of this app. a lot of stats which i should be able to see are usually responded with ""error please try again later"" and proceeding to never function properly. don't even get me started on the ads. you have to genuinely sit there and watch it or else it stops. you aren't allowed to pick another song during YOU HAVE TO SIT THERE AND WATCH A FULL MINUTE OF IRRELEVANT CONTENT. bask in the glory of geico insurance i guess. i have stuff to do man. the hashtags they want us to use seem pointless as well. i feel they don't make a difference at all when songs i don't use hashtags on tend to get even more plays than the ones i do. i don't even know what my plan of action will be if i can't grow using their own sharing tactics. soundcloud is all i know but i've been growing to be fed up with it. they never fix problems or respond. i read bad reviews from 3 years ago that are relevant today. this entire situation is frustrating."
29,It’s amazing but...,3,3/22/2020 1:30,"As a long time user of SoundCloud I always been a fan and was my favorite music platform to use as it provided mostly all music and underground for free. But recently I have came into a glitch or bug were nearly my entire playlist is now “SoundCloud Go+” when they never were before. It saddens me because I tried to look for help for this glitch but the support and help system seems to be almost non-existent because I cannot post on the help center and when other people posted about the problem SoundCloud themselves said “their engineers are working hard to fix this problem and keep us updated” that comment was posted nearly 6 months ago and nothing has come of it and no word or anything I could find to fix this issue. So overall, it’s a great platform until you run into problems or glitches and from there you’re kinda on your own as the support system is close to useless."
30,Dissatisfied (Highly!),2,8/17/2020 1:37,"My main issue with this app is how often it crashes, especially when I attempt to search through various artist’ tracks. Consistent crashes occur on this app (my phone is brand new so I know it’s not a phone issue) and there’s barely any support for creators on this app. Creators have to download Soundcloud Pulse which is also another app that’s behind it’s times (you still can’t even check PMs that are sent to you). I shouldn’t have to go through hell and back to listen to my music, but with the way this app is set up I can certainly say that it is highly dissatisfying on nearly all fronts. Only reason why it gets 2 stars is because of the fact that it’s somewhat useful, but get this app with the times developers!!!

Update: The app is still crashing every time I open up someone’s “latest tracks” section which is pitiful. However we can finally see notifications from the parent app instead of having to go to Soundcloud Pulse which is nice."
31,please update or idk what i’ll do 💔,4,7/7/2020 3:27,"okay so 
soundcloud isn’t just a app, right. it’s a community. it’s the body of music heads. without soundcloud we wouldn’t have the access to leaks, snippets, and unreleased tracks that save so many of us. they show us a new side of our artist, so we’re not limited to what they put out. it’s like having one ear in the studio. makes u feel closer to the music u love. sure this is possible in other ways other than soundcloud, but sc is rly the best way!! 

u don’t truly listen to music if u don’t listen on soundcloud. but for a app which such a importance, it’s performance is underwhelming. i don’t even leave comments on the app store but i wanna see a change! the app crashes on the regular. it’s constantly kicking me out of my Go subscription showing me ads and making me “restore” my purchase which sometimes fails to work. the design is outdated and could really use a more modern redesign. it should look and function just as beautifully as apple music does. 

you should be able to use 3d-touch, add songs to ques, more easily navigate the “feed”, and much more. it doesn’t look the part of the role it plays. please update the design and functionality of this app to be more modern and appealing. it’s time for a change. up your game, soundcloud! we need you!!"
32,Finally time to switch to something new,1,6/13/2022 14:52,"I’ve used SoundCloud for years. First issue was me paying double the amount for a subscription because I’d been on the platform longer. Next was the glitches slowly arising on my favorite tracks. Now, the app is getting to the point of unusable and when comparing it to its competitors, it continues to push tech for the creators, but has fallen short on the consumers. 

Latest issue, I have to restart the app over and over again just to get a few tracks to play before ads get stuck in some loop glitch. This is when I have to close and RE open the app a few times… the new user interface was useless. Yeah, it is cleaner, but it’s unusable when it comes to functionality. The design is alright, but I’ve seen better ui/ux from people just starting in the field, so I’m done subscribing to SoundCloud and I’m pretty close to deleting it. Just gotta manually go through all my tracks to make sure I have them on another platform."
33,"Behold, my least favorite music app",1,12/23/2020 18:35,"Where do I start? This app is absolutely awful in the car. You’re just driving along, want to select a song and get back to driving? Good luck. Be prepared to jump through numerous hoops and complete a complex hand puzzle as you fight back the bugs and overall incompetence that make this app what it is. Random windows open, I get sent to the app store, sent to safari, everything but playing the song. Its absurdly dangerous to use on the road if you’re expecting ease and convenience. 

You have to manually save EACH AND EVERY SONG from your “Liked” list if you want to add it to a playlist. Its laughable to think I would sit there and one by one, go through thousands of songs to add to a playlist. 

If a song gets taken down for copyright, it still stays in your liked music even though the song no longer works which is completely useless. You cant unlike it, cant delete it. 

This app does everything possible to shove 2 ads in your face as often as possible. It would be understandable to see an increase in ads, while also seeing an increase in quality in the app itself but its still mind numbingly slow. Its at the point where Im considering going back to “MyMixtapez” and that app is HOT GARABAGE. Do yourself a favor and uninstall this smooth-brained app because the Devs are more focused on figuring out how they can bump it up to 3 ads at a time."
34,"Loving the new ui, but ya made it slightly to big",5,12/7/2021 13:10,"So im an og hayday user of SoundCloud and I’ve been using it essentially since it first existed, ive seen lots of changes with it, and how its grown. And regarding the new ui for the app I think it’s great except for the fact that you made stuff a wee to large, more specifically the size the songs take up when viewing a playlist, before you could see a lot, bow only a few, dont get me wrong this is actually a good thing now cause you can properly see a songs icon now, but you made em a wee to large and it takes to long to scroll through now. My recommendation is keep everything as it is but tone down the song sizes when appearing in a search or playlist by like 20%"
35,Can’t view artist pages!!,3,11/22/2021 9:50,"I like sound cloud cause I find artist unknown, unreleased music and it recommends not basic stuff constantly like mainstream audio platforms. But every time I purchase soundcloud go it starts lacking. The ads go away and then a new problem arises and makes it unbearable. I got rid of it before because it sucked with low service or wouldn’t play songs. It also recommended you only crap music and knows I don’t wanna hear what it gives me. But MY MAIN PROBLEM NOW, is i cant even visit artist page. I can’t check out all their music. And I’m paying for scGo and i Cant even have mainstream music? That’s terrible. Make it easier to follow people. Make it easier to follow and find artist to add without having to listen to every song please. I want this app to work but I’ll probably unsubscribe again cause there’s no change."
36,Something Happened,3,6/13/2022 15:50,"I love SoundCloud, been using for a couple of years now, but, I’ve run into an issue. Now, I was having trouble with the app, I thought maybe it was my wifi or digital data problems, but it’s only happening in the app. Now, I delete the app, and sign into my account when I download it back and all of my liked tracks on there don’t show up. On the website they do since it’s tied to my account and can’t get rid of, but the app is acting weird today. It’s not because of my wifi or digital data, it’s just the app itself. Please read this and help fix this issue, and before I did delete and reinstall it, I couldn’t search up any other track nor play older liked tracks that I hadn’t played today. Closing out the app doesn’t fix it, so please see this. Maybe it’s a one-day thing, I am not sure."
37,"New Update, New Problems!",1,8/23/2022 1:58,"I remember posting a review months ago that with this new UI gave way for Go+ users not being able to play ANY song they had downloaded, which was patched days later. But NOW, if I search for a song in the general search bar and it comes up and press it, it doesn’t start playing let alone go to the song. Nothing happens, even if there’s a song already playing. If I go to the settings and search in the likes or downloads, I can ascertain the song, and of course I can just hit search in the general search bar and see the main list. But if I search for a song in the general search bar that I listen to regularly and the 3-4 song panels come up to click and listen to, it doesn’t go to the song.

Everytime I update the app which is frequent, there seems to be a new bug that takes it’s place, or it’s fixed for a bit but then somehow a new update breaks the app, frustrating."
38,Great app! Some issues though…,4,8/22/2022 21:03,"I love listening to music on this app, but there are a few things that consistently make it a little harder for me to enjoy. The first is that the app doesn’t play well with the browser’s “Listen in app” button; it just takes me to the App Store instead of opening the app to the song I was on when I clicked it. Also, adding songs to playlists has some UI problems; unlike the PC version, I can’t search for a specific playlist, and there’s no indication of whether it’s already in a playlist I have. (Maybe a little check mark in the corner of the playlist thumbnail would help?) Other than these small issues, though, my experience with this app has been pretty stellar! I’d give it four and a half stars if I could."
39,SEARCH PLAYLISTS WHEN ADDING TO A PLAYLIST,5,3/29/2022 14:44,"Out of my many years using SoundCloud I have always wondered why there isn’t the option to search a playlist when you go to add a song to a playlist. The ability to do so is available on the lap top but most of my music listening is on my iPhone and I struggle scrolling through my 50+ playlists to find the one I wanna put the song in. I love SoundCloud and have the pro plan but this frustrates me so much cause it’s so easy to just add a search bar when adding a song to a playlist. Its been forever since the SoundCloud app came out and im sure someone has had this same issue. PLEASE GIVES US THE ABILITY TO SEARCH A PLAYLIST ON THE SOUNDCLOUD APP WHEN WE ARE ADDING A SONG TO A PLAYLIST. 

Sincerely,
All SoundCloud users"
40,Ruined SoundCloud,2,6/15/2022 21:36,"Ever since Google bought SoundCloud. The quality of the music has gone down and they advise you pay for every little service on a once free Artist platform. They did a recent update that makes the songs take up much more room making it more difficult to search for songs and the “heart” icon for liked songs, ISN’T EVEN RED! So it looks like you haven’t liked the song. The app layout is so preposterous since the update and it was ruined when it wasn’t even broke! No need in fixing something that was working perfectly fine but leave it to Google and their team to ruin all the nice apps with their control and crappy redesigns. I used to love this app back in 2015 and somehow got worse with each update. I’m here leaving a negative review in hopes to make a positive change to this app. Because I speak for the Artist community which is SoundCloud Users!"
